term;explanation;source
ami;друг;db
amour;любовь;db
arbre;дерево;db
argent;деньги;db
au_revoir;до свидания;db
beau;красивый;db
bon;хороший;db
bonjour;здравствуйте, добрый день;db
bouche;рот;db
cahier;тетрадь;db
campagne;деревня;db
chanson;песня;db
cheveux;волосы;db
ciel;небо;db
crayon;карандаш;db
cœur;сердце;db
danse;танец;db
enfant;ребёнок;db
excusez-moi;извините;db
film;фильм;db
fleur;цветок;db
grand;большой;db
livre;книга;db
madame;госпожа, мадам;db
main;рука;db
mauvais;плохой;db
merci;спасибо;db
monsieur;господин, месье;db
musique;музыка;db
nez;нос;db
non;нет;db
nuage;облако;db
oreille;ухо;db
oui;да;db
petit;маленький;db
pied;нога;db
plage;пляж;db
pluie;дождь;db
s'il_vous_plaît;пожалуйста (вежливое);db
sac;сумка;db
salut;привет (неформальное);db
santé;здоровье;db
soleil;солнце;db
stylo;ручка;db
temps;время, погода;db
travail;работа;db
tête;голова;db
ville;город;db
yeux;глаза;db
école;школа;db
étoile;звезда;db
